Designator,Mid X,Mid Y,Rotation,Layer
B1,-23.6145,40.55,90.0,top
B2,-10.6045,40.41,270.0,top
D1,-134.6145,57.65,180.0,top
D10,-83.6145,47.6501,180.0,top
D11,-66.6145,45.3995,180.0,top
D12,-49.6145,42.8999,180.0,top
D13,-134.552,23.6969,180.0,top
D14,-117.6145,23.65,180.0,top
D15,-100.6145,28.4,180.0,top
D16,-83.6145,30.65,180.0,top
D17,-66.6145,28.4,180.0,top
D18,-49.6145,25.9,180.0,top
D19,-78.1145,8.65,180.0,top
D2,-117.6145,57.65,180.0,top
D20,-56.4645,5.75,165.0,top
D21,-39.8645,-2.45,240.0,top
D22,101.9355,57.55,0.0,top
D23,84.9355,57.55,0.0,top
D24,67.9355,62.35,0.0,top
D25,50.9355,64.75,0.0,top
D26,33.9355,62.35,0.0,top
D27,16.9355,59.95,0.0,top
D28,101.9355,40.55,0.0,top
D29,84.9355,40.55,0.0,top
D3,-100.6145,62.4,180.0,top
D30,67.9355,45.35,0.0,top
D31,50.9355,47.75,0.0,top
D32,33.9355,45.35,0.0,top
D33,16.9355,42.95,0.0,top
D34,101.9355,23.55,0.0,top
D35,84.9355,23.55,0.0,top
D36,67.9355,28.35,0.0,top
D37,50.9355,30.75,0.0,top
D38,33.9355,28.35,0.0,top
D39,16.9355,25.95,0.0,top
D4,-83.6145,64.6498,180.0,top
D40,45.3355,8.75,0.0,top
D41,23.7355,6.15,15.0,top
D42,6.5355,-3.85,300.0,top
D5,-66.6145,62.3991,180.0,top
D6,-49.6145,59.8995,180.0,top
D7,-134.552,40.65,180.0,top
D8,-117.6145,40.65,180.0,top
D9,-100.6145,45.4,180.0,top
PSW1,-25.052833,3.755848,150.0,top
PSW2,-9.401167,4.044152,30.0,top
SW1,-135.4446,55.1,0.0,top
SW10,-84.4446,45.2251,0.0,top
SW11,-67.4446,42.8495,0.0,top
SW12,-50.4446,40.4749,0.0,top
SW13,-135.4446,21.1,0.0,top
SW14,-118.4446,21.1,0.0,top
SW15,-101.4446,25.85,0.0,top
SW16,-84.4446,28.225,0.0,top
SW17,-67.4446,25.85,0.0,top
SW18,-50.4446,23.475,0.0,top
SW19,-78.9446,6.225,0.0,top
SW2,-118.4446,55.1,0.0,top
SW20,-57.9446,3.475,345.0,top
SW21,-38.1145,-4.35,60.0,top
SW22,101.0624,55.105,0.0,top
SW23,84.0624,55.105,0.0,top
SW24,67.0624,59.855,0.0,top
SW25,50.0624,62.23,0.0,top
SW26,33.0624,59.855,0.0,top
SW27,16.0554,57.475,0.0,top
SW28,101.0624,38.105,0.0,top
SW29,84.0624,38.105,0.0,top
SW3,-101.4446,59.85,0.0,top
SW30,67.0624,42.855,0.0,top
SW31,50.0624,45.23,0.0,top
SW32,33.0624,42.855,0.0,top
SW33,16.0624,40.48,0.0,top
SW34,101.0624,21.105,0.0,top
SW35,84.0624,21.105,0.0,top
SW36,67.0624,25.855,0.0,top
SW37,50.0624,28.23,0.0,top
SW38,33.0624,25.855,0.0,top
SW39,16.0624,23.48,0.0,top
SW4,-84.4446,62.2248,0.0,top
SW40,44.5624,6.23,0.0,top
SW41,23.5624,3.48,15.0,top
SW42,3.8855,-4.35,300.0,top
SW5,-67.4446,59.8491,0.0,top
SW6,-50.4446,57.4745,0.0,top
SW7,-135.4446,38.1,0.0,top
SW8,-118.4446,38.1,0.0,top
SW9,-101.4446,42.85,0.0,top
